country,threshold,area_ha,extent_2000_ha,extent_2010_ha,gain_2000-2020_ha,tc_loss_ha_2001,tc_loss_ha_2002,tc_loss_ha_2003,tc_loss_ha_2004,tc_loss_ha_2005,tc_loss_ha_2006,tc_loss_ha_2007,tc_loss_ha_2008,tc_loss_ha_2009,tc_loss_ha_2010,tc_loss_ha_2011,tc_loss_ha_2012,tc_loss_ha_2013,tc_loss_ha_2014,tc_loss_ha_2015,tc_loss_ha_2016,tc_loss_ha_2017,tc_loss_ha_2018,tc_loss_ha_2019,tc_loss_ha_2020,tc_loss_ha_2021,tc_loss_ha_2022,sum_2001_2022
Guadeloupe,30,165029,94758,101681,1509,321,51,77,191,223,62,158,135,118,127,74,295,170,198,71,70,60,101,70,52,68,41,2733
Singapore,30,69704,18784,20634,1977,43,124,19,35,82,56,74,35,177,44,74,92,26,191,155,154,263,289,288,165,201,103,2690
Israel,30,2215883,29485,29088,5318,146,112,30,68,137,132,48,65,93,89,1065,49,46,122,51,65,100,40,54,46,29,80,2667
Kyrgyzstan,30,19864899,674974,577910,67691,589,305,111,192,82,111,107,107,201,261,112,85,27,14,0,12,56,17,16,12,18,32,2467
Mayotte,30,39165,33577,33446,249,31,21,31,5,34,42,20,43,6,32,2,131,328,1150,18,83,44,73,35,167,64,73,2433
Armenia,30,2969009,336842,248992,12256,132,173,396,83,104,130,55,113,203,162,174,198,42,38,2,30,42,6,1,19,5,8,2116
"Virgin Islands, U.S.",30,36214,18998,18647,209,123,21,40,33,20,74,25,40,86,21,50,27,27,21,0,9,1126,45,20,14,19,34,1875
Egypt,30,98376439,154304,143312,4206,148,49,61,101,53,38,78,81,60,98,103,439,97,115,32,37,58,63,21,18,18,12,1780
Grenada,30,35953,28534,27554,85,33,66,71,631,47,32,68,64,94,160,40,40,25,84,7,59,28,110,21,18,16,21,1735
Namibia,30,82385622,3835,685,15114,418,108,209,61,64,17,80,34,85,27,71,26,2,4,0,1,2,8,2,1,4,1,1225
Uzbekistan,30,44755388,106176,74271,43149,295,265,53,49,21,53,43,44,96,32,33,55,25,83,0,0,2,0,18,3,4,7,1181
Sudan,30,187213492,72713,72598,216598,27,76,19,13,100,4,185,55,81,42,205,13,9,6,8,27,75,16,56,67,50,43,1177
Saint Lucia,30,61448,50731,49889,143,31,11,19,40,54,98,49,56,55,100,62,67,36,41,7,107,84,34,22,41,35,34,1083
Antigua and Barbuda,30,43576,19323,19976,362,24,18,17,25,61,61,37,46,62,19,26,33,21,25,9,14,72,163,23,15,39,37,847
Northern Cyprus,30,331407,12307,13071,1628,18,3,2,15,4,16,13,20,21,10,14,6,16,28,15,22,28,18,13,6,3,527,818
Hong Kong,30,112913,62046,62932,676,8,16,7,19,9,21,30,27,50,13,15,14,5,28,24,43,92,156,25,73,58,55,788
Gambia,30,1067051,4562,3885,15327,3,40,11,63,6,6,50,297,9,24,30,41,12,17,10,5,8,6,20,10,19,17,704
Palau,30,48743,41263,40557,135,52,75,18,30,43,35,91,65,30,33,31,28,21,94,0,0,0,4,9,16,3,9,687
Turks and Caicos Islands,30,99152,10851,11082,64,8,5,10,10,22,5,74,61,106,38,15,8,11,31,21,19,33,36,17,34,43,16,623
Cayman Islands,30,28040,13458,14365,497,21,6,6,47,9,18,18,32,30,40,40,9,18,8,0,70,74,42,11,9,10,26,544
Botswana,30,57788401,20328,4581,13303,131,23,9,51,49,40,34,26,41,30,21,16,14,16,0,1,1,3,0,2,1,2,511
Saint Vincent and the Grenadines,30,39789,29111,29655,127,7,8,10,21,17,10,23,42,30,66,30,25,13,11,2,16,31,17,12,7,13,63,474
Turkmenistan,30,48959210,10177,7564,419,46,105,85,29,31,14,38,75,13,9,17,9,0,1,0,0,0,0,0,0,0,0,472
Caspian Sea,30,37158134,141764,173395,300,10,23,9,16,7,9,17,16,7,22,208,23,55,3,0,0,7,0,0,0,0,2,434
Isle of Man,30,57967,13217,16049,1000,16,14,2,9,11,26,30,0,47,50,12,31,17,43,11,18,18,12,20,7,14,17,425
Barbados,30,43466,5230,6351,377,12,11,3,8,10,4,32,14,13,17,18,117,5,2,2,14,16,23,54,22,17,5,419
Tajikistan,30,14211295,60257,31673,19712,62,37,32,20,29,19,14,33,34,11,20,26,1,1,0,0,0,0,0,0,0,0,339
Saint Kitts and Nevis,30,26718,13260,13750,426,46,20,32,25,19,20,12,23,34,19,12,11,5,4,1,8,4,5,9,10,9,4,332
British Virgin Islands,30,16932,7464,7182,24,4,3,2,3,4,3,6,7,5,4,15,1,3,1,0,3,229,6,1,0,4,2,306
Libya,30,161606185,6833,4527,1499,17,40,25,10,22,16,4,6,6,9,9,5,81,4,0,1,10,3,2,1,1,0,272
Montserrat,30,10062,4583,4415,250,7,2,2,8,24,13,10,7,5,109,6,2,1,0,0,6,0,9,5,2,3,1,222
Iraq,30,44535865,17504,27445,9457,16,11,20,4,5,6,10,18,16,13,3,9,3,1,0,0,1,0,0,0,0,0,136
Lesotho,30,3054531,6052,10579,2973,1,3,2,4,2,2,3,6,4,4,3,3,7,12,1,15,8,8,10,16,17,4,135
Andorra,30,45196,19004,18962,120,2,1,0,23,2,7,2,5,3,1,1,8,3,1,2,1,3,15,8,27,2,15,132
Burkina Faso,30,27341711,132,2239,142766,59,4,2,9,17,5,3,5,5,7,15,0,0,0,0,0,0,0,0,0,0,0,131
Cape Verde,30,409098,7356,6767,0,7,23,9,1,5,6,1,0,8,1,16,9,10,4,0,0,0,11,0,3,0,0,114
United States Minor Outlying Islands,30,542,146,74,4,2,7,0,0,84,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,103
Liechtenstein,30,16204,9077,8909,56,3,0,0,9,6,12,8,9,5,3,2,4,2,3,1,5,4,7,12,3,1,2,101
Micronesia,30,10267,6172,6206,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,0,0,0,0,0,0,0,0,77
São Tomé and Príncipe,30,100218,14214,14213,0,77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77
"Bonaire, Sint Eustatius and Saba",30,32366,2432,3737,270,3,2,16,0,1,7,1,1,1,2,9,3,4,2,0,0,0,0,2,10,0,0,64
Maldives,30,27913,5570,2787,31,5,5,2,2,4,4,6,7,5,3,11,2,4,3,0,0,0,0,0,0,0,0,63
Curaçao,30,43777,5261,4571,176,1,1,1,1,1,3,4,5,5,2,1,7,6,2,1,2,1,1,2,2,4,5,58
Saint-Martin,30,5616,1850,1824,24,2,5,3,2,5,3,3,3,1,1,10,3,2,1,0,0,4,0,1,2,2,0,53
Anguilla,30,8332,2126,1391,70,4,0,1,9,4,1,9,10,2,0,1,2,1,0,0,0,1,0,0,0,2,0,47
Mauritania,30,104117151,33,1,711,32,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33
Sint Maarten,30,3801,1022,852,16,1,0,2,1,4,2,5,2,3,0,3,0,3,0,0,0,5,0,0,0,0,1,32
Jersey,30,12513,1550,1739,110,4,1,0,1,0,0,0,2,1,7,3,7,1,0,0,0,1,0,0,0,2,0,30
Macao,30,3413,413,432,7,1,1,0,0,0,3,4,4,2,1,1,1,0,1,1,0,4,1,3,1,0,1,30
Palestina,30,621997,615,854,1697,2,2,1,1,0,1,1,3,1,1,0,0,0,1,0,0,2,2,0,0,0,0,18
Malta,30,32335,117,116,11,1,2,0,3,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,0,0,0,13
Jordan,30,8911879,2271,2767,872,1,0,0,2,0,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,7
Saint Pierre and Miquelon,30,22663,5454,10178,32,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,1,0,0,7
Bermuda,30,6808,605,780,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,0,6
French Southern Territories,30,4362,72,160,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6
Guernsey,30,8845,1508,1936,79,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,5
Seychelles,30,20268,6210,5606,1,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,0,0,1,0,0,0,5
Eritrea,30,12045733,5,43,10676,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
San Marino,30,6122,830,984,19,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3
Aruba,30,18198,25,24,19,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Niger,30,118366970,2,48,5782,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Bahrain,30,71518,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Clipperton Island,30,1009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,30,2186336,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Falkland Islands,30,1239764,2188,16830,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Faroe Islands,30,143971,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gibraltar,30,721,120,114,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Greenland,30,12409769,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,30,10222426,0,424690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kiribati,30,690,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kuwait,30,1738894,0,0,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Monaco,30,235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nauru,30,2215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Norfolk Island,30,4063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oman,30,30933274,0,0,1548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Paracel Islands,30,1969,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Qatar,30,1162494,0,0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saint-Barthélemy,30,2469,622,560,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Saudi Arabia,30,191598434,7,0,7599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spratly Islands,30,188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Svalbard and Jan Mayen,30,5442472,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tuvalu,30,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
United Arab Emirates,30,7120448,0,0,596,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Vatican City,30,53,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Western Sahara,30,26732060,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Yemen,30,45220898,126,147,7047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
